City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
116,Imeni Babushkina,59.76,43.13,55.78,96,35,2.39,RU,scattered clouds
117,Bosaso,11.28,49.18,92.5,39,99,19.28,SO,overcast clouds
118,Northam,51.03,-4.22,53.01,79,21,8.01,GB,few clouds
119,Burnie,-41.07,145.92,55.35,74,99,13.73,AU,overcast clouds
120,Vallenar,-28.57,-70.76,52.56,47,32,1.34,CL,scattered clouds
121,Udachnyy,66.42,112.4,57.2,33,75,8.95,RU,smoke
122,Nefteyugansk,61.1,72.6,59.0,100,75,11.18,RU,broken clouds
123,Ixtapa,20.7,-105.2,80.01,94,90,3.36,MX,overcast clouds
124,Westport,41.14,-73.36,75.2,88,1,4.7,US,clear sky
125,Yellowknife,62.46,-114.35,50.0,81,75,11.41,CA,broken clouds
126,Hobyo,5.35,48.53,77.97,77,85,20.31,SO,overcast clouds
127,Esperance,-33.87,121.9,57.2,67,75,31.09,AU,broken clouds
128,Baglan,36.13,68.71,81.52,23,0,0.43,AF,clear sky
129,Kefamenanu,-9.45,124.48,85.68,37,31,14.12,ID,scattered clouds
130,Lavrentiya,65.58,-171.0,49.64,78,83,1.68,RU,broken clouds
131,Adrar,20.5,-10.07,89.94,37,12,24.05,MR,few clouds
132,Ilulissat,69.22,-51.1,42.8,52,75,2.24,GL,broken clouds
133,Molteno,-31.4,26.36,33.12,86,0,7.67,ZA,clear sky
134,Alice Springs,-23.7,133.88,80.6,10,0,8.05,AU,clear sky
135,Bongandanga,1.5,21.05,68.94,99,100,1.88,CD,overcast clouds
136,Boguchany,58.38,97.45,67.48,54,13,4.09,RU,few clouds
137,Cabo San Lucas,22.89,-109.91,79.0,89,94,4.0,MX,overcast clouds
138,Hofn,64.25,-15.21,50.99,64,62,12.03,IS,broken clouds
139,Okhotsk,59.38,143.3,58.98,48,50,4.25,RU,scattered clouds
140,Mackay,-21.15,149.2,75.2,53,40,26.4,AU,scattered clouds
141,Ahipara,-35.17,173.17,60.73,66,23,7.11,NZ,few clouds
142,Narsaq,60.92,-46.05,55.4,47,100,24.16,GL,moderate rain
143,Maragogi,-9.01,-35.22,73.65,89,81,6.31,BR,light rain
144,Lethem,3.38,-59.8,76.33,85,100,7.4,GY,light rain
145,Cape Town,-33.93,18.42,50.0,87,75,4.7,ZA,broken clouds
146,Krasnotorka,48.68,37.53,59.88,78,0,4.27,UA,clear sky
147,Husavik,66.04,-17.34,48.2,87,90,4.7,IS,overcast clouds
148,Ancud,-41.87,-73.82,36.0,96,3,5.01,CL,clear sky
149,Catuday,16.29,119.81,84.24,75,93,10.27,PH,light rain
150,Wattegama,6.8,81.48,86.0,66,75,8.05,LK,broken clouds
151,Tiksi,71.69,128.87,46.78,70,21,9.91,RU,few clouds
152,Ribeira Grande,38.52,-28.7,74.64,94,16,9.51,PT,light rain
153,Mayskiy,47.69,40.1,57.2,87,0,6.71,RU,clear sky
154,Petropavlovsk-Kamchatskiy,53.05,158.65,53.6,81,75,6.71,RU,light intensity shower rain
155,Nikolskoye,59.7,30.79,55.4,87,20,2.3,RU,few clouds
156,Tanete,-3.94,119.78,91.29,41,28,15.28,ID,scattered clouds
157,Bluff,-46.6,168.33,52.0,77,91,35.23,NZ,light rain
158,Hervey Bay,-25.3,152.85,75.99,43,3,19.46,AU,clear sky
159,Faanui,-16.48,-151.75,76.51,80,20,19.98,PF,few clouds
160,Dingle,11.0,122.67,88.83,69,63,11.34,PH,broken clouds
161,Pisco,-13.7,-76.22,62.6,82,40,2.24,PE,scattered clouds
162,Tautira,-17.73,-149.15,80.6,61,20,2.24,PF,few clouds
163,Pevek,69.7,170.31,39.7,91,100,1.61,RU,overcast clouds
164,Salym,60.06,71.48,60.35,76,13,6.35,RU,few clouds
165,Brae,60.4,-1.35,46.4,93,62,16.11,GB,broken clouds
166,Waddan,29.16,16.14,71.37,73,0,9.95,LY,clear sky
167,Arraial Do Cabo,-22.97,-42.03,71.49,87,0,24.63,BR,clear sky
168,Mayo,38.89,-76.51,75.2,100,40,3.36,US,moderate rain
169,Georgetown,5.41,100.34,87.8,74,20,4.7,MY,few clouds
170,Sitka,57.05,-135.33,57.2,67,75,4.7,US,broken clouds
171,Egvekinot,66.32,-179.17,43.45,70,93,11.52,RU,overcast clouds
172,Tasiilaq,65.61,-37.64,39.2,86,100,3.36,GL,overcast clouds
173,Bemidji,47.47,-94.88,57.99,82,1,6.93,US,clear sky
174,Flinders,-34.58,150.86,72.0,47,0,4.0,AU,clear sky
175,Rusape,-18.53,32.13,59.0,64,0,6.96,ZW,clear sky
176,Lompoc,34.64,-120.46,57.2,93,90,3.36,US,overcast clouds
177,Manado,1.49,124.85,87.8,58,40,13.87,ID,scattered clouds
178,Jingdezhen,29.29,117.21,89.74,51,0,3.27,CN,clear sky
179,Katiola,8.13,-5.1,71.6,100,75,9.17,CI,thunderstorm with light rain
180,Saint-Michel-Des-Saints,46.68,-73.92,52.27,79,100,1.79,CA,overcast clouds
181,Valenca Do Piaui,-6.41,-41.75,75.74,41,1,6.58,BR,clear sky
182,Saint Anthony,45.02,-93.22,71.01,68,1,12.75,US,clear sky
183,Touros,-5.2,-35.46,73.4,94,20,5.82,BR,few clouds
184,Manta,-0.95,-80.73,71.6,88,75,9.17,EC,broken clouds
185,Tura,25.52,90.22,81.01,87,5,5.26,IN,moderate rain
186,Soe,-9.86,124.28,80.51,39,44,12.21,ID,scattered clouds
187,Kaitangata,-46.28,169.85,52.07,68,94,15.26,NZ,overcast clouds
188,Loandjili,-4.76,11.86,71.6,94,90,6.93,CG,overcast clouds
189,Erenhot,43.65,111.98,73.4,35,100,9.75,CN,overcast clouds
190,Presevo,42.31,21.65,63.0,87,0,3.56,RS,clear sky
191,Chunskiy,56.08,99.63,68.22,58,100,2.64,RU,overcast clouds
192,Lircay,-12.99,-74.72,47.53,66,2,0.78,PE,clear sky
193,Zhuhai,22.28,113.57,89.6,70,20,5.82,CN,few clouds
194,Shostka,51.86,33.47,54.95,96,14,2.64,UA,few clouds
195,Pringsewu,-5.36,104.97,90.79,49,22,3.29,ID,few clouds
196,Cape Coast,5.11,-1.25,73.99,88,93,9.8,GH,overcast clouds
197,Oussouye,12.48,-16.55,82.4,83,20,4.7,SN,few clouds
198,El Alto,-4.27,-81.21,62.19,85,33,16.91,PE,scattered clouds
199,Bereda,43.27,-7.54,55.99,95,62,1.99,ES,broken clouds
200,Mweka,-4.85,21.57,69.64,88,8,3.0,CD,clear sky
201,Providencia,28.72,-111.58,89.01,76,0,3.0,MX,clear sky
202,Asau,46.43,26.4,57.99,76,29,3.76,RO,scattered clouds
203,Uyuni,-20.46,-66.83,42.73,42,0,7.49,BO,clear sky
204,Svetlyy,54.67,20.13,57.2,93,75,13.42,RU,light rain
205,Mount Pleasant,32.79,-79.86,84.2,94,1,11.86,US,clear sky
206,Talnakh,69.49,88.4,53.6,87,82,4.47,RU,broken clouds
207,Kasongo-Lunda,-6.47,16.82,72.27,81,18,1.81,CD,few clouds
208,Minab,27.15,57.08,93.2,56,44,2.24,IR,scattered clouds
209,Omboue,-1.57,9.26,73.87,85,100,7.58,GA,overcast clouds
210,Lasa,46.62,10.7,59.0,100,75,5.82,IT,mist
211,Vila Franca Do Campo,37.72,-25.43,73.4,94,40,9.17,PT,scattered clouds
212,Celestun,20.87,-90.4,82.36,83,100,8.1,MX,overcast clouds
213,Inhambane,-23.86,35.38,71.37,91,13,13.18,MZ,few clouds
214,Talara,-4.58,-81.27,63.03,85,13,17.27,PE,few clouds
215,Wanning,18.8,110.4,90.46,58,86,3.24,CN,overcast clouds
216,Batagay,67.63,134.63,62.94,30,14,1.36,RU,few clouds
217,Presidencia Roque Saenz Pena,-26.79,-60.44,67.26,75,56,3.38,AR,broken clouds
218,Ulladulla,-35.35,150.47,71.6,26,0,11.41,AU,clear sky
219,Pacific Grove,36.62,-121.92,57.0,93,33,1.21,US,scattered clouds
220,Palu,-0.89,119.87,92.7,45,67,3.42,ID,broken clouds
221,Batemans Bay,-35.72,150.18,66.99,36,0,5.01,AU,clear sky
222,Deer Lake,49.17,-57.43,53.6,93,75,16.11,CA,broken clouds
223,Corsicana,32.1,-96.47,82.4,69,1,16.11,US,clear sky
224,Mogadishu,2.04,45.34,77.38,81,97,13.65,SO,overcast clouds
225,Maple Creek,49.92,-109.48,65.53,36,0,12.77,CA,clear sky
226,Mocajuba,-2.58,-49.51,74.23,91,53,3.02,BR,broken clouds
227,Dao,11.39,122.69,90.34,61,80,4.14,PH,broken clouds
228,Baglung,28.27,83.59,78.13,67,73,4.12,NP,light rain
229,Praia,14.92,-23.51,78.8,83,40,3.36,CV,scattered clouds
230,Aksarka,66.56,67.8,52.72,68,82,15.99,RU,broken clouds
231,Laredo,27.51,-99.51,91.4,55,1,17.22,US,clear sky
232,Mogadouro,41.34,-6.71,48.99,82,0,1.01,PT,clear sky
233,Mouila,-1.87,11.06,73.31,91,100,1.39,GA,overcast clouds
234,Coihaique,-45.58,-72.07,32.0,94,34,2.24,CL,scattered clouds
235,Phalombe,-15.81,35.65,66.49,55,0,3.27,MW,clear sky
236,Port Keats,-14.25,129.55,91.08,19,0,11.63,AU,clear sky
237,Naze,28.37,129.48,89.6,79,20,10.29,JP,few clouds
238,Necochea,-38.55,-58.74,50.0,96,71,4.0,AR,broken clouds
239,Tres Arroyos,-38.37,-60.28,47.39,76,44,3.85,AR,scattered clouds
240,Kangaatsiaq,68.31,-53.46,44.87,74,54,4.14,GL,broken clouds
241,Codrington,-38.27,141.97,63.68,67,0,18.28,AU,clear sky
242,Cidreira,-30.18,-50.21,63.77,85,95,11.05,BR,overcast clouds
243,Gejiu,23.31,103.16,71.13,79,99,4.83,CN,light rain
244,Sao Filipe,14.9,-24.5,79.9,81,89,2.66,CV,light rain
245,Sovetskiy,61.36,63.58,61.61,62,61,1.79,RU,broken clouds
246,Luderitz,-26.65,15.16,53.15,83,4,7.92,NA,clear sky
247,Genhe,50.78,121.52,51.67,92,100,6.53,CN,light rain
248,Antofagasta,-23.65,-70.4,57.2,71,90,10.29,CL,overcast clouds
249,Derzhavinsk,51.1,66.32,74.8,38,22,6.08,KZ,few clouds
250,Trairi,-3.28,-39.27,77.79,80,16,12.55,BR,few clouds
251,Mahebourg,-20.41,57.7,71.6,83,75,12.75,MU,shower rain
252,Bredasdorp,-34.53,20.04,46.4,87,74,6.93,ZA,light rain
253,Goma,-1.68,29.22,64.27,65,12,2.73,CD,few clouds
254,Lahij,13.17,44.58,84.9,55,70,6.13,YE,broken clouds
255,Vetluzhskiy,58.39,45.47,57.78,95,98,0.67,RU,overcast clouds
256,Salalah,17.02,54.09,75.2,100,90,2.24,OM,light intensity drizzle
257,Padre Bernardo,-15.35,-48.5,63.61,46,17,2.93,BR,few clouds
258,Warri,5.52,5.75,73.72,92,100,2.95,NG,overcast clouds
259,Bilibino,68.05,166.44,52.11,52,100,6.2,RU,overcast clouds
260,Yataity,-26.37,-56.07,72.72,65,4,6.73,PY,clear sky
261,Lata,40.16,-8.33,61.0,86,0,4.65,PT,clear sky
262,Seydi,39.48,62.91,79.11,26,0,14.79,TM,clear sky
263,Kavieng,-2.57,150.8,84.38,72,0,12.21,PG,clear sky
264,Recodo,6.95,121.96,87.8,58,90,9.17,PH,overcast clouds
265,Viedma,-40.81,-63.0,44.01,62,100,5.01,AR,overcast clouds
266,Te Anau,-45.42,167.72,47.86,82,100,8.46,NZ,light rain
267,Singkang,2.1,102.8,87.8,70,20,3.36,MY,few clouds
268,Saint-Pierre,-21.34,55.48,73.4,64,12,12.75,RE,few clouds
269,Beringovskiy,63.05,179.32,50.47,83,100,15.77,RU,overcast clouds
270,Gamba,-2.65,10.0,73.42,89,100,6.98,GA,light rain
271,Zemio,5.03,25.14,67.84,96,100,3.8,CF,overcast clouds
272,Gaoual,11.75,-13.2,72.68,94,92,2.04,GN,light rain
273,Mayumba,-3.43,10.66,73.98,89,100,7.63,GA,light rain
274,Nanortalik,60.14,-45.24,48.85,76,85,13.78,GL,overcast clouds
275,Port Elizabeth,-33.92,25.57,50.0,81,23,4.7,ZA,few clouds
276,Puerto Princesa,9.74,118.74,85.17,69,98,3.18,PH,light rain
277,Banjar,-8.19,114.97,86.0,70,20,17.22,ID,few clouds
278,Kathu,7.92,98.33,84.99,83,75,2.24,TH,shower rain
279,Tucurui,-3.77,-49.67,75.63,84,30,5.86,BR,scattered clouds
280,Marsa Matruh,31.35,27.25,69.8,77,0,5.57,EG,clear sky
281,Saint George,37.1,-113.58,87.8,15,1,6.93,US,clear sky
282,Tieli,46.95,128.05,57.2,94,100,12.24,CN,heavy intensity rain
283,Mahina,-17.51,-149.49,80.6,61,20,2.24,PF,few clouds
284,Caravelas,-17.71,-39.25,70.39,91,1,4.7,BR,light rain
285,Bowen,-20.02,148.23,73.4,49,75,26.4,AU,broken clouds
286,San Juan,-31.54,-68.54,56.97,34,12,6.17,AR,few clouds
287,Port Lincoln,-34.73,135.87,69.31,40,5,23.62,AU,clear sky
288,Saldanha,-33.01,17.94,50.0,76,54,11.41,ZA,light rain
289,Torbay,47.67,-52.73,55.0,87,5,18.34,CA,clear sky
290,Palana,59.12,159.97,52.0,72,6,18.25,RU,clear sky
291,Katsuura,35.13,140.3,93.2,59,20,13.87,JP,few clouds
292,Hithadhoo,-0.6,73.08,82.38,73,100,13.51,MV,overcast clouds
293,College,64.86,-147.8,60.8,67,75,1.88,US,thunderstorm
294,Sidi Ali,36.1,0.42,71.28,60,0,11.43,DZ,clear sky
295,Milkovo,54.72,158.62,48.27,87,100,3.69,RU,light rain
296,Bakchar,57.02,82.07,65.43,69,88,7.78,RU,overcast clouds
