City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Cuicatlan,17.8,-96.97,71.08,75,100,2.08,MX,2020-08-25 03:44:52
112,Dunedin,-45.87,170.5,46.0,75,62,4.0,NZ,2020-08-25 03:44:52
113,Lakes Entrance,-37.88,147.98,57.0,64,74,1.99,AU,2020-08-25 03:44:52
114,Karasjok,69.47,25.51,48.2,81,99,17.22,NO,2020-08-25 03:44:52
115,San Luis,-33.3,-66.34,58.08,50,96,0.47,AR,2020-08-25 03:43:50
116,Tazovskiy,67.47,78.7,53.06,94,99,10.36,RU,2020-08-25 03:44:52
117,Pangnirtung,66.15,-65.71,44.98,84,100,2.62,CA,2020-08-25 03:44:52
118,Flinders,-34.58,150.86,57.99,66,55,5.39,AU,2020-08-25 03:44:52
119,Geraldton,-28.77,114.6,66.2,68,0,8.05,AU,2020-08-25 03:44:53
120,Petropavlovsk-Kamchatskiy,53.05,158.65,66.2,48,53,11.18,RU,2020-08-25 03:44:53
121,Bundaberg,-24.85,152.35,75.0,25,0,5.82,AU,2020-08-25 03:44:53
122,Kruisfontein,-34.0,24.73,55.99,89,100,1.99,ZA,2020-08-25 03:44:53
123,Khuzdar,27.74,66.64,82.22,53,96,1.61,PK,2020-08-25 03:44:08
124,Bethel,41.37,-73.41,73.99,83,1,3.36,US,2020-08-25 03:44:53
125,Westerly,41.38,-71.83,75.0,94,90,4.7,US,2020-08-25 03:44:53
126,West Bay,19.37,-81.42,82.0,87,100,1.01,KY,2020-08-25 03:44:53
127,Houma,29.6,-90.72,79.0,88,75,10.29,US,2020-08-25 03:44:53
128,Portland,45.52,-122.68,71.01,66,11,7.56,US,2020-08-25 03:43:13
129,Williams Lake,52.14,-122.14,57.2,58,40,5.82,CA,2020-08-25 03:44:53
130,Ponta Do Sol,32.67,-17.1,71.6,73,20,16.11,PT,2020-08-25 03:44:53
131,Tuatapere,-46.13,167.68,45.0,71,95,15.99,NZ,2020-08-25 03:44:53
132,Carnarvon,-24.87,113.63,69.8,60,0,18.34,AU,2020-08-25 03:41:00
133,San Cristobal,7.77,-72.22,65.34,90,99,2.48,VE,2020-08-25 03:43:39
134,Ikom,5.97,8.71,69.06,97,99,1.41,NG,2020-08-25 03:44:53
135,Arraial Do Cabo,-22.97,-42.03,66.25,69,18,12.75,BR,2020-08-25 03:44:53
136,Esperance,-33.87,121.9,60.8,77,54,6.93,AU,2020-08-25 03:44:53
137,Upernavik,72.79,-56.15,42.76,88,100,2.8,GL,2020-08-25 03:44:53
138,Yarim,14.3,44.38,62.67,68,72,2.33,YE,2020-08-25 03:44:53
139,Doha,25.29,51.53,93.2,56,64,10.29,QA,2020-08-25 03:44:54
140,Provideniya,64.38,-173.3,55.4,76,75,8.95,RU,2020-08-25 03:44:54
141,Nome,64.5,-165.41,55.4,76,90,8.05,US,2020-08-25 03:44:54
