City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Hovd,MN,50.77,overcast clouds,48.01,91.64,Hotel Khovd
425,Dvinskoy,RU,53.49,moderate rain,62.15,45.12,Gostinitsa Dvinskaya
429,Port-Cartier,CA,60.8,broken clouds,50.03,-66.87,Le Q'Artier
431,Marondera,ZW,58.6,clear sky,-18.19,31.55,HopeFay Conference Centre
433,Esperance,AU,50.0,broken clouds,-33.87,121.9,Hospitality Esperance
436,Bijie,CN,62.71,few clouds,27.31,105.29,Four Points by Sheraton Bijie
437,Vagur,FO,50.43,overcast clouds,61.47,-6.81,Vestmanna Hostel
438,Stavern,NO,55.0,overcast clouds,59.0,10.03,Hotel Wassilioff
449,Tzintzuntzan,MX,66.99,scattered clouds,19.62,-101.58,Lago Sol Hotel & Suites
452,Beringovskiy,RU,50.9,light rain,63.05,179.32,Beringgorski
456,Hami,CN,65.53,broken clouds,42.8,93.45,Laoyutang Resort
462,Otane,NZ,55.0,overcast clouds,-39.88,176.63,Ludlow Farmstay
464,Port Hardy,CA,60.8,broken clouds,50.7,-127.42,Airport Inn
469,Flinders,AU,57.99,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
471,Mackay,AU,68.0,scattered clouds,-21.15,149.2,International Lodge Motel
473,Oss,NL,57.99,few clouds,51.75,5.53,Hotel de Weverij
474,Hervey Bay,AU,64.4,clear sky,-25.3,152.85,Shelly Bay Resort
477,Caceres,ES,68.0,broken clouds,39.52,-6.37,Ahc Hoteles
478,Anadyr,RU,51.8,broken clouds,64.75,177.48,"Гостиница ""Анадырь"""
481,Ahipara,NZ,61.27,clear sky,-35.17,173.17,Ahipara Holiday Park
482,Kabanjahe,ID,62.26,broken clouds,3.1,98.49,Pelindung Bawah Losmen
483,Kuytun,RU,51.42,overcast clouds,54.34,101.5,Gostinitsa Tsentral'naya
488,Chernyshevskiy,RU,52.23,overcast clouds,63.01,112.47,Chernyseyskiy
491,Clarence Town,AU,54.0,clear sky,-32.58,151.78,River Downs Cottage
495,Derzhavinsk,KZ,66.76,clear sky,51.1,66.32,Ooo.khim Baza
499,Hazorasp,UZ,66.2,clear sky,41.32,61.07,Kemping wifi hotel
500,Aksay,RU,62.6,clear sky,47.26,39.87,Chernaya Zhemchuzhina
501,Kuvshinovo,RU,50.18,scattered clouds,57.03,34.17,Каменка
506,Fecamp,FR,60.8,scattered clouds,49.76,0.37,Hôtel d'Angleterre
517,Zhezkazgan,KZ,64.98,clear sky,47.8,67.71,Kvartiry Posutochno.
525,Sambava,MG,68.56,scattered clouds,-14.27,50.17,Melrose
526,Novyy Svit,UA,63.43,clear sky,47.81,38.02,Энергетик
530,Mayskiy,RU,62.6,clear sky,47.69,40.1,Dio Lakrua
532,Malyn,UA,55.4,clear sky,50.77,29.24,Ukraine
534,Erenhot,CN,67.19,broken clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
538,Gorgan,IR,69.8,clear sky,36.84,54.43,Khayyam Motel
541,Ulladulla,AU,53.6,clear sky,-35.35,150.47,Sandpiper Motel
542,Haileybury,CA,60.8,broken clouds,47.45,-79.64,Haileybury Beach Motel
547,Gornyy,RU,50.4,clear sky,55.12,83.91,Gostinyy Dvor
549,Ketchikan,US,57.2,moderate rain,55.34,-131.65,Snows Cove Lodge
551,Hualmay,PE,63.07,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
555,Maloy,NO,55.99,clear sky,61.94,5.11,Torget Hotell
556,Acari,PE,63.37,broken clouds,-15.43,-74.62,Hospedaje Ximens
561,Santa Maria,BR,67.15,scattered clouds,-29.68,-53.81,Hotel Morotin
579,Ambo,PE,65.86,scattered clouds,-10.13,-76.2,La Loma Resort
583,Dunedin,NZ,50.59,few clouds,-45.87,170.5,Scenic Hotel Southern Cross
589,Severnoye,RU,53.62,broken clouds,56.35,78.36,Gostinitsa Severyanka
591,Tairua,NZ,61.25,clear sky,-37.02,175.85,Pacific Harbour Villas
593,Butembo,CD,57.13,scattered clouds,0.15,29.28,Hotel Butembo
600,La Rioja,ES,62.6,overcast clouds,42.25,-2.5,Casa Concejos
603,Yaransk,RU,57.94,broken clouds,57.3,47.89,Vibor guest house
604,Kon Tum,VN,69.53,overcast clouds,14.35,108.0,Hoa đà spa- homestay
605,Namibe,AO,59.41,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
611,Baruun-Urt,MN,55.53,scattered clouds,46.68,113.28,Ахмадын амралт сувилал
612,Englewood,US,70.0,light rain,39.65,-104.99,InTown Suites Extended Stay Denver CO - Englewood
614,Rovaniemi,FI,50.0,scattered clouds,66.5,25.72,Arctic City Hotel
616,Komsomolskiy,UZ,66.2,clear sky,40.43,71.72,Ikathouse
619,Mareeba,AU,70.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
622,Robe,AU,54.59,clear sky,-37.18,139.75,Harbour View Motel
629,Juneau,US,53.6,moderate rain,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
632,Sioux Lookout,CA,66.2,scattered clouds,50.1,-91.92,Knobby's Fly-In Camps
634,Port Macquarie,AU,55.0,clear sky,-31.43,152.92,Rydges Port Macquarie
636,Torbay,CA,61.0,broken clouds,47.67,-52.73,Gallows Cove
641,Bonavista,CA,59.0,broken clouds,48.65,-53.11,Abbott's Bed & Breakfast
643,Peniche,PT,66.99,scattered clouds,39.36,-9.38,Hotel Star inn Peniche
644,Torres,BR,64.09,scattered clouds,-29.34,-49.73,Farol Hotel
645,Baturyn,UA,55.81,scattered clouds,51.35,32.88,Vitryla Myklukho-Maklaya
652,Oktyabrskoye,RU,66.2,overcast clouds,43.06,44.74,Prolesok Mini-hotel
653,Talnakh,RU,53.6,scattered clouds,69.49,88.4,Talnakh Hotel
655,Toamasina,MG,64.4,scattered clouds,-18.17,49.38,Hotel H1
656,Novyy Urengoy,RU,59.11,overcast clouds,66.08,76.63,Hotel Urengoy
658,Birjand,IR,62.6,clear sky,32.87,59.22,Birjand Tourist Hotel
663,Hofn,IS,51.93,few clouds,64.25,-15.21,Hótel Höfn
671,Faya,SA,69.8,clear sky,18.39,42.45,مقبرة ال مجمل
673,Havre-Saint-Pierre,CA,59.0,scattered clouds,50.23,-63.6,Auberge Niapiskau
675,Vangaindrano,MG,67.41,scattered clouds,-23.35,47.6,Hotel Fanilo
678,Mzimba,MW,65.25,clear sky,-11.9,33.6,Zagegs Hotel
679,Homer,US,57.2,clear sky,59.64,-151.55,Beluga Lake Lodge
680,Hay River,CA,55.4,broken clouds,60.82,-115.8,Ptarmigan Inn Hotels
681,Toguchin,RU,51.15,clear sky,55.24,84.39,Stolitsa
684,Cherlak,RU,58.71,clear sky,54.16,74.81,Gostinitsa V Cherlake
694,Namyslow,PL,63.0,light intensity shower rain,51.08,17.72,Hotel Zorza
695,Ucluelet,CA,70.0,broken clouds,48.93,-125.55,Black Rock Oceanfront Resort
696,Kyotera,UG,66.76,clear sky,-0.62,31.52,NEW PARADISE GUEST HOUSE
700,Kiama,AU,57.99,clear sky,-34.68,150.87,The Sebel Kiama Harbourside
